Date,Open,High,Low,Close,Volume
07/19/2024,"476.06","486.71","475.71","476.79","15,149,420"
07/18/2024,"475.00","479.24","464.54","475.85","19,267,160"
07/17/2024,"479.17","479.17","459.12","461.99","28,076,600"
07/16/2024,"501.50","503.95","485.79","489.79","14,075,830"
07/15/2024,"498.63","506.68","493.37","496.16","12,539,160"
07/12/2024,"497.76","508.09","494.23","498.87","19,750,539"
07/11/2024,"530.89","535.46","508.37","512.70","16,458,250"
07/10/2024,"530.79","538.88","528.36","534.69","10,983,280"
07/09/2024,"533.75","537.48","528.19","530.00","8,769,088"
07/08/2024,"542.35","542.81","526.65","529.32","14,917,500"
07/05/2024,"511.60","540.87","511.60","539.91","21,354,090"
07/03/2024,"506.37","511.28","506.02","509.96","6,005,615"
07/02/2024,"500.76","510.50","499.45","509.50","7,739,479"
07/01/2024,"504.95","506.58","493.17","504.68","10,328,150"
06/28/2024,"517.15","521.88","503.84","504.22","15,855,140"
06/27/2024,"514.25","522.88","513.90","519.56","10,121,200"
06/26/2024,"506.65","513.81","504.68","513.12","8,882,337"
06/25/2024,"497.05","510.71","495.50","510.60","12,109,770"
06/24/2024,"499.20","507.80","494.29","498.91","13,525,280"
06/21/2024,"503.45","503.45","492.39","494.78","23,130,730"
06/20/2024,"502.00","503.67","496.77","501.70","11,801,180"
06/18/2024,"504.56","506.00","495.02","499.49","13,060,430"
06/17/2024,"501.67","510.75","496.01","506.63","11,266,600"
06/14/2024,"502.65","507.15","500.75","504.16","10,243,350"
06/13/2024,"505.71","509.36","501.36","504.10","9,954,621"
06/12/2024,"513.99","514.01","504.47","508.84","11,983,230"
06/11/2024,"500.16","507.60","498.27","507.47","9,673,715"
06/10/2024,"493.86","502.66","493.41","502.60","11,236,920"
06/07/2024,"495.91","498.91","490.17","492.96","9,380,745"
06/06/2024,"492.98","502.82","490.89","493.76","10,667,340"
06/05/2024,"484.45","496.65","483.91","495.06","15,690,480"
06/04/2024,"477.00","478.89","473.23","476.99","7,088,718"
06/03/2024,"470.86","479.60","468.24","477.49","11,279,390"
05/31/2024,"465.80","469.12","454.46","466.83","16,919,811"
05/30/2024,"471.67","471.73","464.71","467.05","10,735,230"
05/29/2024,"474.66","479.85","473.70","474.36","9,226,218"
05/28/2024,"476.58","480.86","474.84","479.92","10,175,770"
05/24/2024,"467.62","479.85","466.30","478.22","12,024,250"
05/23/2024,"472.88","474.36","461.54","465.78","11,747,910"
05/22/2024,"467.87","473.72","465.65","467.78","10,078,610"
05/21/2024,"467.12","470.70","462.27","464.63","11,742,190"
05/20/2024,"469.95","473.20","467.04","468.84","11,745,080"
05/17/2024,"470.83","472.80","468.42","471.91","10,807,290"
05/16/2024,"475.00","477.69","472.75","473.23","16,608,180"
05/15/2024,"474.98","482.50","471.20","481.54","13,100,470"
05/14/2024,"463.37","472.54","460.08","471.85","10,478,550"
05/13/2024,"472.75","473.35","462.85","468.01","14,668,800"
05/10/2024,"477.09","477.50","469.60","476.20","10,750,000"
05/09/2024,"470.00","476.08","467.63","475.42","9,437,651"
05/08/2024,"463.50","475.58","463.00","472.60","11,683,930"
05/07/2024,"466.29","471.53","461.31","468.24","13,406,820"
05/06/2024,"455.58","466.16","453.34","465.68","15,094,630"
05/03/2024,"445.93","454.17","443.85","451.96","16,489,061"
05/02/2024,"438.84","443.96","432.28","441.68","15,221,320"
05/01/2024,"428.60","449.96","427.11","439.19","20,344,949"
04/30/2024,"431.05","439.62","429.72","430.17","18,429,500"
04/29/2024,"439.56","439.76","428.56","432.62","21,502,650"
04/26/2024,"441.46","446.44","431.96","443.29","32,691,439"
04/25/2024,"421.40","445.77","414.50","441.38","82,890,734"
04/24/2024,"508.06","510.00","484.58","493.50","37,772,680"
04/23/2024,"491.25","498.76","488.97","496.10","15,079,200"
04/22/2024,"489.72","492.01","473.40","481.73","17,271,131"
04/19/2024,"502.80","502.80","475.73","481.07","25,215,359"
04/18/2024,"499.82","512.21","499.04","501.80","14,808,670"
04/17/2024,"503.10","503.16","487.14","494.17","12,193,740"
04/16/2024,"498.11","504.77","497.11","499.76","9,847,925"
04/15/2024,"516.72","518.53","497.28","500.23","13,512,890"
04/12/2024,"517.75","520.19","509.33","511.90","11,984,540"
04/11/2024,"521.11","523.86","517.29","523.16","10,369,470"
04/10/2024,"509.29","522.56","505.80","519.83","11,418,490"
04/09/2024,"522.23","525.87","506.74","516.90","10,881,450"
04/08/2024,"529.28","531.49","518.89","519.25","13,260,580"
04/05/2024,"516.86","530.70","514.41","527.34","19,263,270"
04/04/2024,"516.42","530.00","510.58","510.92","26,476,250"
04/03/2024,"498.93","507.24","498.75","506.74","12,099,170"
04/02/2024,"485.10","497.53","484.65","497.37","11,081,030"
04/01/2024,"487.20","497.43","481.78","491.35","9,247,007"
03/28/2024,"492.84","492.89","485.15","485.58","15,212,760"
03/27/2024,"499.30","499.89","488.07","493.86","9,989,676"
03/26/2024,"505.13","510.00","495.21","495.89","11,205,380"
03/25/2024,"505.79","507.22","500.24","503.02","8,380,617"
03/22/2024,"507.00","509.97","504.34","509.58","8,120,593"
03/21/2024,"514.71","515.04","506.01","507.76","9,712,549"
03/20/2024,"499.50","508.20","495.17","505.52","11,711,100"
03/19/2024,"488.17","496.63","481.28","496.24","10,903,090"
03/18/2024,"491.91","497.42","486.81","496.98","11,755,250"
03/15/2024,"489.01","491.83","481.30","484.10","29,153,580"
03/14/2024,"500.26","501.35","488.16","491.83","12,620,010"
03/13/2024,"495.39","500.98","491.03","495.57","12,090,660"
03/12/2024,"493.26","502.31","484.73","499.75","15,448,230"
03/11/2024,"497.01","497.32","476.00","483.59","20,428,270"
03/08/2024,"514.19","523.57","499.35","505.95","18,597,061"
03/07/2024,"503.28","519.85","501.38","512.19","18,586,439"
03/06/2024,"497.63","502.97","494.29","496.09","11,757,930"
03/05/2024,"495.00","495.58","487.89","490.22","15,325,300"
03/04/2024,"503.00","504.42","496.42","498.19","12,324,140"
03/01/2024,"492.11","504.25","491.85","502.30","15,884,880"
02/29/2024,"488.44","491.70","482.61","490.13","17,732,051"
02/28/2024,"485.00","491.05","482.75","484.02","12,715,490"
02/27/2024,"479.98","487.27","479.92","487.05","10,809,600"
02/26/2024,"483.47","486.14","480.60","481.74","12,101,420"
02/23/2024,"488.05","494.36","482.35","484.03","18,374,289"
02/22/2024,"480.24","489.99","476.06","486.13","21,625,811"
02/21/2024,"466.50","469.00","461.79","468.03","12,977,050"
02/20/2024,"469.72","476.18","466.56","471.75","18,015,520"
02/16/2024,"478.11","478.96","469.21","473.32","23,324,619"
02/15/2024,"475.28","488.62","472.22","484.03","24,212,330"
02/14/2024,"467.93","474.11","466.09","473.28","16,858,400"
02/13/2024,"456.87","467.89","455.09","460.12","20,916,600"
02/12/2024,"468.19","479.15","466.58","468.90","19,381,961"
02/09/2024,"472.95","473.59","467.47","468.11","18,413,141"
02/08/2024,"468.32","470.59","465.03","470.00","18,815,100"
02/07/2024,"458.00","471.52","456.18","469.59","23,065,990"
02/06/2024,"464.00","467.12","453.00","454.72","21,655,211"
02/05/2024,"469.88","471.90","459.22","459.41","40,832,379"
02/02/2024,"459.60","485.96","453.01","474.99","84,707,648"
02/01/2024,"393.94","400.50","393.05","394.78","29,727,051"
01/31/2024,"389.00","398.00","387.10","390.14","20,180,820"
01/30/2024,"403.59","406.36","399.57","400.06","18,614,730"
01/29/2024,"394.99","402.93","393.10","401.02","18,742,430"
01/26/2024,"394.35","396.79","391.59","394.14","13,159,290"
01/25/2024,"390.17","395.49","385.66","393.18","15,091,080"
01/24/2024,"390.00","396.15","387.81","390.70","15,604,290"
01/23/2024,"384.62","388.38","382.08","385.20","15,506,100"
01/22/2024,"387.95","390.35","381.16","381.78","17,680,449"
01/19/2024,"379.00","384.36","377.97","383.45","21,670,811"
01/18/2024,"371.49","376.85","370.95","376.13","16,354,330"
01/17/2024,"366.30","368.54","358.61","368.37","12,724,780"
01/16/2024,"373.65","375.61","367.23","367.46","15,306,890"
01/12/2024,"370.16","377.06","369.54","374.49","19,310,051"
01/11/2024,"372.13","372.78","362.93","369.67","17,205,391"
01/10/2024,"360.17","372.94","359.08","370.47","22,117,211"
01/09/2024,"356.40","360.64","355.36","357.43","13,463,870"
01/08/2024,"354.70","358.98","352.05","358.66","13,890,220"
01/05/2024,"346.99","353.50","346.26","351.95","13,750,910"
01/04/2024,"344.50","348.15","343.40","347.12","12,099,900"
01/03/2024,"344.98","347.95","343.18","344.47","15,451,130"
01/02/2024,"351.32","353.16","340.01","346.29","19,042,150"
12/29/2023,"358.99","360.00","351.82","353.96","14,987,090"
12/28/2023,"359.70","361.90","357.81","358.32","11,798,810"
12/27/2023,"356.07","359.00","355.31","357.83","13,207,930"
12/26/2023,"354.99","356.98","353.45","354.83","9,898,614"
12/22/2023,"355.58","357.20","351.22","353.39","11,772,780"
12/21/2023,"352.98","356.41","349.21","354.09","15,289,560"
12/20/2023,"348.65","354.96","347.79","349.28","16,369,850"
12/19/2023,"345.58","353.60","345.12","350.36","17,729,359"
12/18/2023,"337.48","347.56","337.02","344.62","18,993,850"
12/15/2023,"331.99","338.66","331.22","334.92","31,776,850"
12/14/2023,"333.85","334.70","328.64","333.17","19,607,340"
12/13/2023,"333.93","338.37","332.64","334.74","16,353,320"
12/12/2023,"324.60","334.47","324.56","334.22","18,485,461"
12/11/2023,"329.40","329.89","320.00","325.28","25,802,461"
12/08/2023,"323.09","333.17","323.00","332.75","14,087,350"
12/07/2023,"317.77","328.24","317.77","326.59","15,905,080"
12/06/2023,"321.93","322.25","317.04","317.45","11,294,340"
12/05/2023,"318.98","321.88","315.39","318.29","16,952,131"
12/04/2023,"317.29","320.86","313.66","320.02","19,037,080"
12/01/2023,"325.48","326.86","320.76","324.82","15,276,380"
11/30/2023,"331.89","333.50","322.40","327.15","23,146,391"
11/29/2023,"339.69","339.90","330.78","332.20","16,024,500"
11/28/2023,"333.40","339.38","333.40","338.99","12,637,250"
11/27/2023,"336.18","339.90","334.20","334.70","15,684,450"
11/24/2023,"340.13","341.86","336.77","338.23","5,467,488"
11/22/2023,"339.21","342.92","338.58","341.49","10,715,180"
11/21/2023,"338.33","339.90","335.90","336.98","12,027,860"
11/20/2023,"334.89","341.87","334.19","339.97","16,976,131"
11/17/2023,"330.26","335.50","329.35","335.04","14,519,210"
11/16/2023,"329.37","334.58","326.38","334.19","18,932,570"
11/15/2023,"337.93","338.40","330.02","332.71","14,531,180"
11/14/2023,"334.54","338.10","333.33","336.31","17,179,400"
11/13/2023,"326.20","332.33","325.70","329.19","16,908,949"
11/10/2023,"319.94","329.10","319.46","328.77","19,116,920"
11/09/2023,"319.42","324.18","318.80","320.55","16,103,070"
11/08/2023,"318.14","321.33","314.88","319.78","13,609,700"
11/07/2023,"317.06","321.00","315.12","318.82","14,055,610"
11/06/2023,"315.98","318.33","314.45","315.80","12,887,700"
11/03/2023,"312.55","315.55","311.02","314.60","16,764,320"
11/02/2023,"317.30","318.82","308.33","310.87","21,631,820"
11/01/2023,"301.85","312.74","301.85","311.85","20,434,580"
10/31/2023,"303.31","303.68","296.86","301.27","19,434,170"
10/30/2023,"299.09","309.40","299.05","302.66","28,435,051"
10/27/2023,"294.48","299.31","292.97","296.73","29,596,260"
10/26/2023,"295.00","295.00","279.40","288.35","66,684,141"
10/25/2023,"310.00","310.88","298.84","299.53","42,192,473"
10/24/2023,"316.78","318.35","310.63","312.55","19,525,490"
10/23/2023,"309.50","317.36","307.26","314.01","17,796,789"
10/20/2023,"314.14","315.30","306.47","308.65","22,312,279"
10/19/2023,"319.88","321.89","311.75","312.81","18,709,160"
10/18/2023,"321.39","325.94","315.56","316.97","16,851,000"
10/17/2023,"318.18","324.40","317.30","324.00","16,387,801"
10/16/2023,"318.64","321.82","315.52","321.15","16,536,109"
10/13/2023,"323.53","325.05","312.37","314.69","21,360,789"
10/12/2023,"328.00","330.54","322.69","324.16","20,530,520"
10/11/2023,"323.01","328.84","322.95","327.82","22,036,301"
10/10/2023,"319.12","324.66","318.16","321.84","19,037,971"
10/09/2023,"312.50","320.33","311.82","318.36","22,503,660"
10/06/2023,"301.44","316.31","300.91","315.43","21,803,859"
10/05/2023,"304.63","306.21","299.50","304.79","19,129,961"
10/04/2023,"298.73","306.90","298.50","305.58","16,880,480"
10/03/2023,"304.26","306.77","299.64","300.94","17,362,250"
10/02/2023,"302.74","307.18","301.63","306.82","16,265,570"
09/29/2023,"307.38","310.64","299.36","300.21","25,373,699"
09/28/2023,"298.94","306.33","296.70","303.96","22,167,080"
09/27/2023,"300.45","301.30","286.79","297.74","36,429,840"
09/26/2023,"297.66","300.30","296.01","298.96","19,417,160"
09/25/2023,"295.64","300.95","293.70","300.83","18,987,010"
09/22/2023,"299.30","305.38","298.27","299.08","25,369,590"
09/21/2023,"295.70","300.26","293.27","295.73","21,319,580"
09/20/2023,"305.05","308.06","299.43","299.67","19,379,520"
09/19/2023,"302.48","306.17","299.81","305.07","15,931,620"
09/18/2023,"298.19","303.60","297.80","302.55","14,234,160"
09/15/2023,"311.61","312.00","298.75","300.31","28,131,141"
09/14/2023,"306.74","312.87","305.03","311.72","19,343,100"
09/13/2023,"302.36","307.18","301.32","305.06","13,210,920"
09/12/2023,"306.33","308.66","300.23","301.66","13,480,400"
09/11/2023,"301.41","309.04","301.28","307.56","19,489,330"
09/08/2023,"299.22","305.25","296.78","297.89","17,572,199"
09/07/2023,"298.00","307.05","292.22","298.67","33,748,738"
09/06/2023,"301.71","303.30","295.66","299.17","15,418,090"
09/05/2023,"297.02","301.39","295.51","300.15","14,955,990"
09/01/2023,"299.37","301.74","294.47","296.38","12,842,260"
08/31/2023,"295.80","301.10","295.66","295.89","17,229,869"
08/30/2023,"297.17","298.29","293.43","295.10","17,717,020"
08/29/2023,"288.59","299.15","288.18","297.99","20,844,520"
08/28/2023,"288.00","291.45","285.80","290.26","14,239,290"
08/25/2023,"286.13","288.39","276.03","285.50","23,701,439"
08/24/2023,"298.50","299.46","286.64","286.75","18,360,881"
08/23/2023,"288.50","297.40","287.67","294.24","18,287,000"
08/22/2023,"292.55","292.90","286.75","287.60","12,999,910"
08/21/2023,"283.45","290.50","281.85","289.90","20,181,480"
08/18/2023,"279.03","285.69","274.38","283.25","35,347,930"
08/17/2023,"293.05","296.05","284.95","285.09","23,950,090"
08/16/2023,"300.20","301.08","294.28","294.29","18,547,740"
08/15/2023,"306.14","307.23","300.03","301.95","11,623,610"
08/14/2023,"300.98","306.21","298.25","306.19","15,641,920"
08/11/2023,"302.57","304.72","300.36","301.64","14,046,250"
08/10/2023,"307.94","312.34","303.87","305.74","14,358,900"
08/09/2023,"312.88","313.63","302.85","305.21","19,955,779"
08/08/2023,"314.40","317.89","310.11","312.64","15,183,530"
08/07/2023,"313.23","317.07","310.46","316.56","16,236,500"
08/04/2023,"314.96","318.41","310.20","310.73","17,612,760"
08/03/2023,"309.93","315.95","309.93","313.19","15,215,420"
08/02/2023,"318.00","318.39","310.65","314.31","20,461,090"
08/01/2023,"317.54","324.14","314.66","322.71","22,889,869"
07/31/2023,"323.69","325.66","317.59","318.60","25,799,600"
07/28/2023,"316.88","326.20","314.25","325.48","39,220,273"
07/27/2023,"325.12","325.35","309.84","311.71","64,229,168"
07/26/2023,"301.19","301.77","291.90","298.57","47,256,930"
07/25/2023,"295.19","298.30","291.86","294.47","19,585,580"
07/24/2023,"295.78","297.52","288.30","291.61","24,949,410"
07/21/2023,"304.57","305.46","291.20","294.26","42,139,262"
07/20/2023,"313.50","315.54","302.22","302.52","23,836,881"
07/19/2023,"313.03","318.68","310.52","316.01","21,763,689"
